"","X","word","qnLabel","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","Onset","Duration","MN","SE","marker_event","onset_event","duration_event","MN_event","SE_event"
"111",198,"10: Het",5.1,1,3,2,1,2,2,1,1,1,5,2,3,2,1,1,3,2,1,1,4,3,2,1,2,2,3,4,46.7427116,0.130693818,2.074074074,0.213009409,,,,,
"112",199,"11: was",5.1,1,3,2,1,2,2,1,1,1,5,2,3,2,1,1,3,2,1,1,4,3,2,1,2,2,3,4,46.87340542,0.147177723,2.074074074,0.213009409,,,,,
"113",200,"12: druk",5.1,1,5,2,1,2,2,1,1,1,5,2,3,2,1,1,1,2,1,1,4,3,2,1,2,2,3,4,47.02058314,0.304952242,2.074074074,0.238262502,,,,,
"114",201,"13: in",5.1,1,3,2,1,2,2,1,1,1,5,2,3,2,1,1,2,2,1,1,4,3,2,1,2,2,3,4,47.32553538,0.120097022,2.037037037,0.210016154,,,,,
"115",202,"14: de",5.1,1,3,2,1,2,2,1,1,1,5,2,3,2,1,1,2,2,1,1,4,3,2,1,2,2,3,4,47.44563241,0.089484056,2.037037037,0.210016154,,,,,
"116",203,"15: winkel.",5.1,1,3,2,1,2,2,1,1,1,5,2,3,2,1,1,4,2,1,1,4,3,2,1,2,2,3,4,47.53511646,0.381484659,2.111111111,0.222222222,1,46.7427116,1.17388952,2.0679012345,
"117",204,"16: Zodra",5.1,1,4,2,2,2,2,1,1,1,4,3,3,1,2,1,2,3,2,1,5,3,2,1,2,2,7,5,48.38547092,0.363823332,2.407407407,0.288720822,,,,,
"118",205,"17: meneer",5.1,1,5,2,2,2,2,1,1,1,4,3,3,1,2,1,2,3,2,1,5,4,2,1,2,2,7,5,48.74929425,0.254323106,2.481481481,0.303682857,,,,,
"119",206,"18: Kuisters",5.1,1,5,2,2,2,2,1,1,1,4,3,3,1,2,1,2,3,2,1,5,4,2,1,2,2,7,5,49.06719814,0.485097776,2.481481481,0.303682857,,,,,
"120",208,"20: binnen",5.1,1,1,2,2,5,2,1,1,1,4,3,3,1,2,1,2,3,2,1,5,3,2,1,2,2,7,5,49.75128019,0.197346115,2.407407407,0.303161214,,,,,
"121",209,"21: zag",5.1,1,1,2,2,5,2,1,1,1,4,3,3,1,2,1,3,3,2,1,5,3,2,1,2,2,7,5,49.94862631,0.180145533,2.444444444,0.303509075,,,,,
"122",210,"22: komen",5.1,1,1,2,2,5,2,1,1,1,4,3,3,1,2,1,2,3,2,1,5,3,2,1,2,2,7,5,50.18764293,0.374420128,2.407407407,0.303161214,1,48.38547092,1.85515599,2.4382716045,
"123",211,"23: duwde",5.1,2,5,2,2,5,2,1,1,1,4,3,3,4,3,1,4,3,2,1,5,3,2,1,3,2,7,5,50.84858607,0.290823181,2.851851852,0.305242436,,,,,
"124",212,"24: hij",5.1,2,2,2,2,5,2,1,1,1,4,3,3,1,2,1,3,3,2,1,5,3,2,1,3,2,7,5,51.13940925,0.160129363,2.555555556,0.293972368,,,,,
"125",213,"25: de",5.1,2,2,2,2,5,2,1,1,1,4,3,3,1,2,1,2,3,2,1,5,3,2,1,3,2,7,5,51.29953861,0.074177572,2.518518519,0.294151783,,,,,
"126",214,"26: schuifdeur",5.1,2,2,2,2,5,2,1,1,1,4,3,3,1,2,1,3,3,2,1,5,3,2,1,3,2,7,5,51.37371618,0.587533471,2.555555556,0.293972368,,,,,
"127",215,"27: tussen",5.1,2,2,2,2,5,2,1,1,1,4,3,3,1,2,1,3,3,2,1,5,3,2,1,3,2,7,5,51.97302387,0.267274745,2.555555556,0.293972368,,,,,
"128",216,"28: winkel",5.1,2,2,2,2,5,2,1,1,1,4,3,3,1,2,1,3,3,2,1,5,3,2,1,3,2,7,5,52.24029862,0.328466523,2.555555556,0.293972368,,,,,
"129",217,"29: en",5.1,2,2,2,2,5,2,1,1,1,4,3,3,1,2,1,1,3,2,1,5,3,2,1,3,2,7,5,52.56876514,0.113032491,2.481481481,0.298955305,,,,,
"130",218,"30: huiskamer",5.1,2,2,2,2,5,2,1,1,1,4,3,3,1,2,1,6,3,2,1,5,3,2,1,3,2,7,5,52.68179763,0.609904485,2.666666667,0.320256308,,,,,
"131",219,"31: een",5.1,2,2,2,2,5,2,1,1,1,4,3,3,1,2,1,3,3,2,1,5,3,2,1,3,2,7,5,53.29170212,0.097726008,2.555555556,0.293972368,,,,,
