"","word","qnLabel","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","Onset","Duration"
"386","10: handen","7.1","1","1","1","1","1","1",NA,"1","1","2","1","2","1","90.51017203","0.235484357"
"387","11: in","7.1","1","1","1","1","1","1",NA,"1","1","2","1","2","1","90.74565638","0.057693667"
"388","12: haar","7.1","1","1","1","1","1","1",NA,"1","1","2","1","2","1","90.80335005","0.143645458"
"389","13: schoot","7.1","1","1","1","1","1","1",NA,"1","1","2","1","2","1","90.94699551","0.403855672"
"390","14: en","7.1","1","1","1","1","1","1",NA,"1","1","2","1","2","1","91.35085118","0.181322955"
"391","15: keek","7.1","1","1","1","1","1","1",NA,"2","1","2","1","2","1","91.53217414","0.203966753"
"393","17: wantrouwig","7.1","1","1","1","1","1","1",NA,"2","1","2","1","2","1","91.92335095","0.520556709"
"394","18: aan.","7.1","1","1","1","1","1","1",NA,"2","1","2","1","2","1","92.44390766","0.293178025"
"396","20: mond","7.1","2","1","2","2","1","1",NA,"2","2","2","2","2","2","93.86191593","0.275516698"
"397","21: hing","7.1","2","1","2","2","1","1",NA,"2","2","2","2","2","2","94.13743263","0.167193894"
"398","22: half","7.1","2","1","2","2","1","1",NA,"2","2","2","2","2","2","94.30462652","0.240194044"
"399","23: open","7.1","2","1","2","2","1","1",NA,"2","2","2","2","2","2","94.54482056","0.413275047"
"400","24: haar","7.1","2","2","2","2","1","2",NA,"2","2","2","2","2","2","95.41739246","0.156597097"
"401","25: witte","7.1","2","2","2","2","2","2",NA,"2","2","2","2","2","2","95.57398955","0.255500527"
"402","26: gezicht","7.1","2","2","2","2","2","2",NA,"2","2","2","2","2","2","95.82949008","0.373242706"
"403","27: glom","7.1","2","2","2","2","2","2",NA,"2","2","2","2","2","2","96.20273279","0.466259027"
"404","28: alsof","7.1","2","2","2","2","2","2",NA,"2","2","2","2","2","2","96.66899181","0.255500527"
"405","29: het","7.1","2","2","2","2","2","2",NA,"2","2","2","2","2","2","96.92449234","0.130693818"
"406","30: met","7.1","2","2","2","2","2","2",NA,"2","2","2","2","2","2","97.05518616","0.218249621"
"407","31: vet","7.1","2","2","2","2","2","2",NA,"2","2","2","2","2","2","97.27343578","0.34262974"
"408","32: was","7.1","2","2","2","2","2","2",NA,"2","2","2","2","2","2","97.61606552","0.1504026"
"409","33: ingesmeerd.","7.1","2","2","2","2","2","2",NA,"2","2","2","2","2","2","97.76646812","0.81653347"
"410","34: 'Ik","7.1","1","1","1","1","1","1",NA,"1","1","1","1","1","1","99.88193667","0.135539785"
"411","35: moet","7.1","1","1","1","1","1","1",NA,"1","1","1","1","1","1","100.0174765","0.198984282"
